Номер симуляции,Размер выборки,Количество реальных линейных предикторов,Количество шумовых нелинейных предикторов,Количество реальных нелинейных предикторов,Количество взаимодействий,Корреляция существенного регрессора,Влияние существенного регрессора,Тип ошибки,Доля ошибок
282,100,10,3,0,0,0.05,5,2,0.9566666666666667
283,100,10,3,0,0,0.5,1,2,0.9633333333333334
284,100,10,3,0,0,0.5,2,2,0.9433333333333334
285,100,10,3,0,0,0.5,5,2,0.9533333333333334
286,100,10,3,0,0,0.9,1,2,0.9433333333333334
287,100,10,3,0,0,0.9,2,2,0.97
288,100,10,3,0,0,0.9,5,2,0.94
289,100,10,4,0,0,0.05,1,2,0.9366666666666666
290,100,10,4,0,0,0.05,2,2,0.9433333333333334
291,100,10,4,0,0,0.05,5,2,0.9666666666666667
292,100,10,4,0,0,0.5,1,2,0.9633333333333334
293,100,10,4,0,0,0.5,2,2,0.9366666666666666
294,100,10,4,0,0,0.5,5,2,0.9566666666666667
295,100,10,4,0,0,0.9,1,2,0.9633333333333334
296,100,10,4,0,0,0.9,2,2,0.94
297,100,10,4,0,0,0.9,5,2,0.95
298,100,10,10,0,0,0.05,1,2,1.0
299,100,10,10,0,0,0.05,2,2,1.0
300,100,10,10,0,0,0.05,5,2,1.0
301,100,10,10,0,0,0.5,1,2,1.0
302,100,10,10,0,0,0.5,2,2,1.0
303,100,10,10,0,0,0.5,5,2,1.0
304,100,10,10,0,0,0.9,1,2,1.0
305,100,10,10,0,0,0.9,2,2,1.0
306,100,10,10,0,0,0.9,5,2,1.0
307,100,10,15,0,0,0.05,1,2,1.0
308,100,10,15,0,0,0.05,2,2,1.0
309,100,10,15,0,0,0.05,5,2,1.0
310,100,10,15,0,0,0.5,1,2,1.0
311,100,10,15,0,0,0.5,2,2,1.0
312,100,10,15,0,0,0.5,5,2,1.0
313,100,10,15,0,0,0.9,1,2,1.0
314,100,10,15,0,0,0.9,2,2,1.0
315,100,10,15,0,0,0.9,5,2,1.0
316,100,15,1,0,0,0.05,1,2,0.97
317,100,15,1,0,0,0.05,2,2,0.9666666666666667
318,100,15,1,0,0,0.05,5,2,0.96
319,100,15,1,0,0,0.5,1,2,0.9433333333333334
320,100,15,1,0,0,0.5,2,2,0.95
321,100,15,1,0,0,0.5,5,2,0.9366666666666666
322,100,15,1,0,0,0.9,1,2,0.95
323,100,15,1,0,0,0.9,2,2,0.9266666666666666
324,100,15,1,0,0,0.9,5,2,0.9566666666666667
325,100,15,3,0,0,0.05,1,2,0.93
326,100,15,3,0,0,0.05,2,2,0.9566666666666667
327,100,15,3,0,0,0.05,5,2,0.9266666666666666
328,100,15,3,0,0,0.5,1,2,0.9333333333333333
329,100,15,3,0,0,0.5,2,2,0.9533333333333334
330,100,15,3,0,0,0.5,5,2,0.9533333333333334
331,100,15,3,0,0,0.9,1,2,0.95
332,100,15,3,0,0,0.9,2,2,0.9333333333333333
333,100,15,3,0,0,0.9,5,2,0.93
334,100,15,4,0,0,0.05,1,2,0.9366666666666666
335,100,15,4,0,0,0.05,2,2,0.9333333333333333
336,100,15,4,0,0,0.05,5,2,0.9466666666666667
337,100,15,4,0,0,0.5,1,2,0.9466666666666667
338,100,15,4,0,0,0.5,2,2,0.96
339,100,15,4,0,0,0.5,5,2,0.9633333333333334
340,100,15,4,0,0,0.9,1,2,0.96
341,100,15,4,0,0,0.9,2,2,0.9633333333333334
342,100,15,4,0,0,0.9,5,2,0.9566666666666667
343,100,15,10,0,0,0.05,1,2,1.0
344,100,15,10,0,0,0.05,2,2,1.0
345,100,15,10,0,0,0.05,5,2,1.0
346,100,15,10,0,0,0.5,1,2,1.0
347,100,15,10,0,0,0.5,2,2,1.0
348,100,15,10,0,0,0.5,5,2,1.0
349,100,15,10,0,0,0.9,1,2,1.0
350,100,15,10,0,0,0.9,2,2,1.0
351,100,15,10,0,0,0.9,5,2,1.0
352,100,15,15,0,0,0.05,1,2,1.0
353,100,15,15,0,0,0.05,2,2,1.0
354,100,15,15,0,0,0.05,5,2,1.0
355,100,15,15,0,0,0.5,1,2,1.0
356,100,15,15,0,0,0.5,2,2,1.0
357,100,15,15,0,0,0.5,5,2,1.0
358,100,15,15,0,0,0.9,1,2,1.0
359,100,15,15,0,0,0.9,2,2,1.0
360,100,15,15,0,0,0.9,5,2,1.0
361,500,3,1,0,0,0.05,1,2,0.9533333333333334
362,500,3,1,0,0,0.05,2,2,0.9766666666666667
363,500,3,1,0,0,0.05,5,2,0.94
364,500,3,1,0,0,0.5,1,2,0.9466666666666667
365,500,3,1,0,0,0.5,2,2,0.9366666666666666
366,500,3,1,0,0,0.5,5,2,0.9533333333333334
367,500,3,1,0,0,0.9,1,2,0.9533333333333334
368,500,3,1,0,0,0.9,2,2,0.96
369,500,3,1,0,0,0.9,5,2,0.9366666666666666
370,500,3,3,0,0,0.05,1,2,0.9333333333333333
371,500,3,3,0,0,0.05,2,2,0.93
372,500,3,3,0,0,0.05,5,2,0.9633333333333334
373,500,3,3,0,0,0.5,1,2,0.9533333333333334
374,500,3,3,0,0,0.5,2,2,0.93
375,500,3,3,0,0,0.5,5,2,0.9533333333333334
376,500,3,3,0,0,0.9,1,2,0.94
377,500,3,3,0,0,0.9,2,2,0.9666666666666667
378,500,3,3,0,0,0.9,5,2,0.9566666666666667
379,500,3,4,0,0,0.05,1,2,0.9566666666666667
380,500,3,4,0,0,0.05,2,2,0.9433333333333334
381,500,3,4,0,0,0.05,5,2,0.94
382,500,3,4,0,0,0.5,1,2,0.9266666666666666
383,500,3,4,0,0,0.5,2,2,0.9666666666666667
384,500,3,4,0,0,0.5,5,2,0.9433333333333334
385,500,3,4,0,0,0.9,1,2,0.9333333333333333
386,500,3,4,0,0,0.9,2,2,0.9433333333333334
387,500,3,4,0,0,0.9,5,2,0.9666666666666667
388,500,3,10,0,0,0.05,1,2,0.9966666666666667
389,500,3,10,0,0,0.05,2,2,0.9966666666666667
390,500,3,10,0,0,0.05,5,2,0.9933333333333333
391,500,3,10,0,0,0.5,1,2,0.9966666666666667
392,500,3,10,0,0,0.5,2,2,1.0
393,500,3,10,0,0,0.5,5,2,0.99
394,500,3,10,0,0,0.9,1,2,0.9933333333333333
395,500,3,10,0,0,0.9,2,2,1.0
396,500,3,10,0,0,0.9,5,2,0.99
397,500,3,15,0,0,0.05,1,2,1.0
398,500,3,15,0,0,0.05,2,2,1.0
399,500,3,15,0,0,0.05,5,2,1.0
400,500,3,15,0,0,0.5,1,2,1.0
401,500,3,15,0,0,0.5,2,2,1.0
402,500,3,15,0,0,0.5,5,2,1.0
403,500,3,15,0,0,0.9,1,2,1.0
404,500,3,15,0,0,0.9,2,2,1.0
405,500,3,15,0,0,0.9,5,2,1.0
406,500,4,1,0,0,0.05,1,2,0.9633333333333334
407,500,4,1,0,0,0.05,2,2,0.95
408,500,4,1,0,0,0.05,5,2,0.9433333333333334
409,500,4,1,0,0,0.5,1,2,0.95
410,500,4,1,0,0,0.5,2,2,0.96
411,500,4,1,0,0,0.5,5,2,0.9633333333333334
412,500,4,1,0,0,0.9,1,2,0.9566666666666667
413,500,4,1,0,0,0.9,2,2,0.93
414,500,4,1,0,0,0.9,5,2,0.9633333333333334
415,500,4,3,0,0,0.05,1,2,0.9633333333333334
416,500,4,3,0,0,0.05,2,2,0.9566666666666667
417,500,4,3,0,0,0.05,5,2,0.9533333333333334
418,500,4,3,0,0,0.5,1,2,0.9633333333333334
419,500,4,3,0,0,0.5,2,2,0.9566666666666667
420,500,4,3,0,0,0.5,5,2,0.9433333333333334
421,500,4,3,0,0,0.9,1,2,0.95
422,500,4,3,0,0,0.9,2,2,0.95
423,500,4,3,0,0,0.9,5,2,0.96
424,500,4,4,0,0,0.05,1,2,0.98
425,500,4,4,0,0,0.05,2,2,0.95
426,500,4,4,0,0,0.05,5,2,0.9633333333333334
427,500,4,4,0,0,0.5,1,2,0.95
428,500,4,4,0,0,0.5,2,2,0.9533333333333334
429,500,4,4,0,0,0.5,5,2,0.9366666666666666
430,500,4,4,0,0,0.9,1,2,0.9433333333333334
431,500,4,4,0,0,0.9,2,2,0.95
432,500,4,4,0,0,0.9,5,2,0.96
433,500,4,10,0,0,0.05,1,2,1.0
434,500,4,10,0,0,0.05,2,2,0.9966666666666667
435,500,4,10,0,0,0.05,5,2,1.0
