Номер симуляции,Размер выборки,Количество реальных линейных предикторов,Количество шумовых нелинейных предикторов,Количество реальных нелинейных предикторов,Количество взаимодействий,Корреляция существенного регрессора,Влияние существенного регрессора,Тип ошибки,Доля ошибок
321,500,5,4,5,2,0.9,2,2,0.043333333333333335
322,500,5,4,5,0,0.9,5,2,0.06666666666666667
323,500,5,4,5,1,0.9,5,2,0.05
324,500,5,4,5,2,0.9,5,2,0.09
325,500,10,2,0,0,0.0,0,1,0.05333333333333334
326,500,10,2,0,1,0.0,0,2,0.57
327,500,10,2,0,2,0.0,0,2,0.4866666666666667
328,500,10,2,0,0,0.0,2,1,0.06
329,500,10,2,0,1,0.0,2,2,0.56
330,500,10,2,0,2,0.0,2,2,0.5366666666666666
331,500,10,2,0,0,0.0,5,1,0.023333333333333334
332,500,10,2,0,1,0.0,5,2,0.54
333,500,10,2,0,2,0.0,5,2,0.54
334,500,10,2,0,0,0.5,0,1,0.04666666666666667
335,500,10,2,0,1,0.5,0,2,0.56
336,500,10,2,0,2,0.5,0,2,0.5333333333333333
337,500,10,2,0,0,0.5,2,2,0.9566666666666667
338,500,10,2,0,1,0.5,2,2,0.56
339,500,10,2,0,2,0.5,2,2,0.55
340,500,10,2,0,0,0.5,5,2,0.9266666666666666
341,500,10,2,0,1,0.5,5,2,0.67
342,500,10,2,0,2,0.5,5,2,0.5266666666666666
343,500,10,2,0,0,0.9,0,1,0.05333333333333334
344,500,10,2,0,1,0.9,0,2,0.5733333333333334
345,500,10,2,0,2,0.9,0,2,0.4666666666666667
346,500,10,2,0,0,0.9,2,2,0.96
347,500,10,2,0,1,0.9,2,2,0.6166666666666667
348,500,10,2,0,2,0.9,2,2,0.44666666666666666
349,500,10,2,0,0,0.9,5,2,0.9633333333333334
350,500,10,2,0,1,0.9,5,2,0.5633333333333334
351,500,10,2,0,2,0.9,5,2,0.49333333333333335
352,500,10,2,1,0,0.0,0,2,0.03
353,500,10,2,1,1,0.0,0,2,0.34
354,500,10,2,1,2,0.0,0,2,0.37666666666666665
355,500,10,2,1,0,0.0,2,2,0.09666666666666666
356,500,10,2,1,1,0.0,2,2,0.3466666666666667
357,500,10,2,1,2,0.0,2,2,0.3933333333333333
358,500,10,2,1,0,0.0,5,2,0.24
359,500,10,2,1,1,0.0,5,2,0.37
360,500,10,2,1,2,0.0,5,2,0.3933333333333333
361,500,10,2,1,0,0.5,0,2,0.03
362,500,10,2,1,1,0.5,0,2,0.30333333333333334
363,500,10,2,1,2,0.5,0,2,0.37333333333333335
364,500,10,2,1,0,0.5,2,2,0.10666666666666667
365,500,10,2,1,1,0.5,2,2,0.33
