Номер симуляции,Размер выборки,Количество реальных линейных предикторов,Количество шумовых нелинейных предикторов,Количество реальных нелинейных предикторов,Количество взаимодействий,Корреляция существенного регрессора,Влияние существенного регрессора,Тип ошибки,Доля ошибок
233,1000,3,4,0,2,0,0,2,0.1
234,1000,3,4,0,3,0,0,2,0.043333333333333335
235,1000,3,10,0,1,0,0,2,0.5733333333333334
236,1000,3,10,0,2,0,0,2,0.44666666666666666
237,1000,3,10,0,3,0,0,2,0.21333333333333335
238,1000,3,15,0,1,0,0,2,0.8533333333333334
239,1000,3,15,0,2,0,0,2,0.7133333333333334
240,1000,3,15,0,3,0,0,2,0.6033333333333334
241,1000,4,1,0,1,0,0,2,0.22
242,1000,4,1,0,2,0,0,2,0.18333333333333332
243,1000,4,1,0,3,0,0,2,0.14333333333333334
244,1000,4,3,0,1,0,0,2,0.23
245,1000,4,3,0,2,0,0,2,0.15
246,1000,4,3,0,3,0,0,2,0.08666666666666667
247,1000,4,4,0,1,0,0,2,0.17333333333333334
248,1000,4,4,0,2,0,0,2,0.16333333333333333
249,1000,4,4,0,3,0,0,2,0.1
250,1000,4,10,0,1,0,0,2,0.8166666666666667
251,1000,4,10,0,2,0,0,2,0.64
252,1000,4,10,0,3,0,0,2,0.53
253,1000,4,15,0,1,0,0,2,0.9466666666666667
254,1000,4,15,0,2,0,0,2,0.89
255,1000,4,15,0,3,0,0,2,0.7966666666666666
256,1000,5,1,0,1,0,0,2,0.22
257,1000,5,1,0,2,0,0,2,0.16333333333333333
258,1000,5,1,0,3,0,0,2,0.16666666666666666
259,1000,5,3,0,1,0,0,2,0.27
260,1000,5,3,0,2,0,0,2,0.16333333333333333
261,1000,5,3,0,3,0,0,2,0.17333333333333334
262,1000,5,4,0,1,0,0,2,0.23333333333333334
263,1000,5,4,0,2,0,0,2,0.21333333333333335
264,1000,5,4,0,3,0,0,2,0.14666666666666667
265,1000,5,10,0,1,0,0,2,0.8733333333333333
266,1000,5,10,0,2,0,0,2,0.8433333333333334
267,1000,5,10,0,3,0,0,2,0.7466666666666667
268,1000,5,15,0,1,0,0,2,0.9933333333333333
269,1000,5,15,0,2,0,0,2,0.9666666666666667
270,1000,5,15,0,3,0,0,2,0.9233333333333333
271,1000,10,1,0,1,0,0,2,0.44333333333333336
272,1000,10,1,0,2,0,0,2,0.37333333333333335
273,1000,10,1,0,3,0,0,2,0.3466666666666667
274,1000,10,3,0,1,0,0,2,0.41333333333333333
275,1000,10,3,0,2,0,0,2,0.41333333333333333
276,1000,10,3,0,3,0,0,2,0.37333333333333335
277,1000,10,4,0,1,0,0,2,0.42333333333333334
278,1000,10,4,0,2,0,0,2,0.45666666666666667
279,1000,10,4,0,3,0,0,2,0.3566666666666667
280,1000,10,10,0,1,0,0,2,1.0
281,1000,10,10,0,2,0,0,2,0.9966666666666667
282,1000,10,10,0,3,0,0,2,0.9933333333333333
283,1000,10,15,0,1,0,0,2,1.0
284,1000,10,15,0,2,0,0,2,1.0
285,1000,10,15,0,3,0,0,2,1.0
286,1000,15,1,0,1,0,0,2,0.5766666666666667
287,1000,15,1,0,2,0,0,2,0.5166666666666667
288,1000,15,1,0,3,0,0,2,0.4533333333333333
289,1000,15,3,0,1,0,0,2,0.5633333333333334
290,1000,15,3,0,2,0,0,2,0.5666666666666667
291,1000,15,3,0,3,0,0,2,0.54
292,1000,15,4,0,1,0,0,2,0.5933333333333334
293,1000,15,4,0,2,0,0,2,0.5166666666666667
294,1000,15,4,0,3,0,0,2,0.5833333333333334
295,1000,15,10,0,1,0,0,2,1.0
296,1000,15,10,0,2,0,0,2,1.0
297,1000,15,10,0,3,0,0,2,1.0
298,1000,15,15,0,1,0,0,2,1.0
299,1000,15,15,0,2,0,0,2,1.0
300,1000,15,15,0,3,0,0,2,1.0
